team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school,conference,school_for_merge,AP Top 25,Coaches Poll,FCS Coaches Poll
Texas,Other / Unclassified,Administrative,1,5.0,5.0,Texas,SEC,Texas,17.0,18.0,
Texas,Other / Unclassified,Blocking / Holding,3,0.0,0.0,Texas,SEC,Texas,17.0,18.0,
Texas,Other / Unclassified,Other,2,43.0,21.5,Texas,SEC,Texas,17.0,18.0,
Texas,Other / Unclassified,Procedural,2,7.0,3.5,Texas,SEC,Texas,17.0,18.0,
Texas,Pass Interference,Personal / Contact,3,26.0,8.67,Texas,SEC,Texas,17.0,18.0,
Texas,Personal Foul,Personal / Contact,8,69.0,8.62,Texas,SEC,Texas,17.0,18.0,
Texas,Roughing,Personal / Contact,1,15.0,15.0,Texas,SEC,Texas,17.0,18.0,
Texas,Roughing the Kicker,Personal / Contact,1,37.0,37.0,Texas,SEC,Texas,17.0,18.0,
Texas,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0,Texas,SEC,Texas,17.0,18.0,
Texas A&M,Delay of Game,Procedural,2,10.0,5.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Face Mask,Other,1,1.0,1.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,False Start,Procedural,12,20.0,1.67,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Holding,Blocking / Holding,22,204.0,9.27,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Illegal Formation,Procedural,3,15.0,5.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Offside,Procedural,6,22.0,3.67,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Other / Unclassified,Administrative,1,0.0,0.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Other / Unclassified,Blocking / Holding,2,24.0,12.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Other / Unclassified,Other,6,31.0,5.17,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Other / Unclassified,Procedural,1,0.0,0.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Pass Interference,Personal / Contact,7,105.0,15.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Personal Foul,Personal / Contact,4,30.0,7.5,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Roughing,Personal / Contact,1,0.0,0.0,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas A&M,Unsportsmanlike Conduct,Personal / Contact,2,1.0,0.5,Texas A&M,SEC,Texas A&M,3.0,3.0,
Texas State,Delay of Game,Procedural,2,10.0,5.0,Texas State,Sun Belt,,,,
Texas State,Face Mask,Other,6,48.0,8.0,Texas State,Sun Belt,,,,
Texas State,False Start,Procedural,20,81.0,4.05,Texas State,Sun Belt,,,,
Texas State,Holding,Blocking / Holding,33,358.0,10.85,Texas State,Sun Belt,,,,
Texas State,Illegal Formation,Procedural,4,20.0,5.0,Texas State,Sun Belt,,,,
Texas State,Offside,Procedural,8,35.0,4.38,Texas State,Sun Belt,,,,
Texas State,Other / Unclassified,Administrative,6,75.0,12.5,Texas State,Sun Belt,,,,
Texas State,Other / Unclassified,Blocking / Holding,2,81.0,40.5,Texas State,Sun Belt,,,,
Texas State,Other / Unclassified,Other,10,86.0,8.6,Texas State,Sun Belt,,,,
Texas State,Other / Unclassified,Procedural,2,10.0,5.0,Texas State,Sun Belt,,,,
Texas State,Pass Interference,Personal / Contact,8,57.0,7.12,Texas State,Sun Belt,,,,
Texas State,Pass Interference,Procedural,1,15.0,15.0,Texas State,Sun Belt,,,,
Texas State,Personal Foul,Personal / Contact,6,81.0,13.5,Texas State,Sun Belt,,,,
Texas State,Roughing the Passer,Personal / Contact,2,21.0,10.5,Texas State,Sun Belt,,,,
Texas State,Targeting,Personal / Contact,1,19.0,19.0,Texas State,Sun Belt,,,,
Texas Tech,Delay of Game,Procedural,3,15.0,5.0,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Face Mask,Other,5,45.0,9.0,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,False Start,Procedural,11,55.0,5.0,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Holding,Blocking / Holding,14,192.0,13.71,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Illegal Formation,Procedural,2,5.0,2.5,Texas Tech,Big 12,Texas Tech,6.0,7.0,
