offense,conference,penalty_type,total_penalties,total_yards,average_yards_per_penalty
Virginia,ACC,Roughing the Passer,2,65.0,32.5
Virginia,ACC,Delay of Game,1,5.0,5.0
Virginia,ACC,Roughing,1,15.0,15.0
Virginia,ACC,Unsportsmanlike Conduct,1,15.0,15.0
Virginia Tech,ACC,False Start,16,70.0,4.38
Virginia Tech,ACC,Other / Unclassified,12,51.0,4.25
Virginia Tech,ACC,Holding,11,85.0,7.73
Virginia Tech,ACC,Offside,7,13.0,1.86
Virginia Tech,ACC,Pass Interference,7,68.0,9.71
Virginia Tech,ACC,Personal Foul,5,0.0,0.0
Virginia Tech,ACC,Delay of Game,4,20.0,5.0
Virginia Tech,ACC,Face Mask,4,45.0,11.25
Virginia Tech,ACC,Illegal Formation,1,5.0,5.0
Virginia Tech,ACC,Roughing the Passer,1,15.0,15.0
Virginia Tech,ACC,Unsportsmanlike Conduct,1,5.0,5.0
W Michigan,MAC,Holding,9,47.0,5.22
W Michigan,MAC,Pass Interference,7,89.0,12.71
W Michigan,MAC,Other / Unclassified,6,56.0,9.33
W Michigan,MAC,Personal Foul,6,94.0,15.67
W Michigan,MAC,False Start,4,15.0,3.75
W Michigan,MAC,Unsportsmanlike Conduct,4,7.0,1.75
W Michigan,MAC,Delay of Game,3,10.0,3.33
W Michigan,MAC,Offside,2,10.0,5.0
W Michigan,MAC,Face Mask,1,15.0,15.0
W Michigan,MAC,Illegal Formation,1,35.0,35.0
WKU,CUSA,Holding,13,104.0,8.0
WKU,CUSA,Offside,8,36.0,4.5
WKU,CUSA,Pass Interference,7,74.0,10.57
WKU,CUSA,False Start,6,29.0,4.83
WKU,CUSA,Other / Unclassified,4,69.0,17.25
WKU,CUSA,Face Mask,2,30.0,15.0
WKU,CUSA,Illegal Formation,2,12.0,6.0
WKU,CUSA,Personal Foul,2,16.0,8.0
WKU,CUSA,Roughing the Passer,2,0.0,0.0
WKU,CUSA,Unsportsmanlike Conduct,2,0.0,0.0
WKU,CUSA,Targeting,1,11.0,11.0
Wake Forest,ACC,Holding,16,206.0,12.88
Wake Forest,ACC,False Start,15,70.0,4.67
Wake Forest,ACC,Other / Unclassified,14,88.0,6.29
Wake Forest,ACC,Pass Interference,6,90.0,15.0
Wake Forest,ACC,Unsportsmanlike Conduct,5,103.0,20.6
Wake Forest,ACC,Illegal Formation,3,46.0,15.33
Wake Forest,ACC,Offside,3,10.0,3.33
Wake Forest,ACC,Personal Foul,2,14.0,7.0
Wake Forest,ACC,Roughing the Passer,2,30.0,15.0
Wake Forest,ACC,Delay of Game,1,5.0,5.0
Wake Forest,ACC,Illegal Motion,1,0.0,0.0
Washington,Big 10,False Start,15,70.0,4.67
Washington,Big 10,Holding,8,54.0,6.75
Washington,Big 10,Other / Unclassified,8,135.0,16.88
Washington,Big 10,Personal Foul,5,16.0,3.2
Washington,Big 10,Unsportsmanlike Conduct,4,23.0,5.75
Washington,Big 10,Offside,3,0.0,0.0
Washington,Big 10,Face Mask,2,18.0,9.0
Washington,Big 10,Illegal Formation,2,36.0,18.0
Washington,Big 10,Pass Interference,1,0.0,0.0
Washington,Big 10,Roughing the Passer,1,0.0,0.0
Washington,Big 10,Targeting,1,3.0,3.0
Washington State,Pac 12,False Start,17,74.0,4.35
Washington State,Pac 12,Holding,16,136.0,8.5
Washington State,Pac 12,Other / Unclassified,10,102.0,10.2
Washington State,Pac 12,Offside,9,78.0,8.67
Washington State,Pac 12,Pass Interference,5,74.0,14.8
Washington State,Pac 12,Delay of Game,4,20.0,5.0
Washington State,Pac 12,Face Mask,3,21.0,7.0
Washington State,Pac 12,Illegal Formation,3,28.0,9.33
Washington State,Pac 12,Personal Foul,1,15.0,15.0
Washington State,Pac 12,Roughing the Passer,1,15.0,15.0
Washington State,Pac 12,Unsportsmanlike Conduct,1,0.0,0.0
West Virginia,Big 12,False Start,16,80.0,5.0
West Virginia,Big 12,Holding,12,114.0,9.5
West Virginia,Big 12,Pass Interference,10,144.0,14.4
West Virginia,Big 12,Offside,9,121.0,13.44
West Virginia,Big 12,Other / Unclassified,7,33.0,4.71
West Virginia,Big 12,Face Mask,3,59.0,19.67
West Virginia,Big 12,Personal Foul,3,0.0,0.0
West Virginia,Big 12,Delay of Game,1,5.0,5.0
West Virginia,Big 12,Illegal Formation,1,28.0,28.0
Wisconsin,Big 10,Other / Unclassified,8,66.0,8.25
Wisconsin,Big 10,False Start,6,30.0,5.0
Wisconsin,Big 10,Holding,5,20.0,4.0
Wisconsin,Big 10,Personal Foul,5,33.0,6.6
Wisconsin,Big 10,Pass Interference,4,47.0,11.75
Wisconsin,Big 10,Delay of Game,3,10.0,3.33
Wisconsin,Big 10,Offside,3,5.0,1.67
Wisconsin,Big 10,Roughing the Passer,1,15.0,15.0
Wisconsin,Big 10,Unsportsmanlike Conduct,1,15.0,15.0
Wyoming,MWC,False Start,17,61.0,3.59
Wyoming,MWC,Holding,17,151.0,8.88
Wyoming,MWC,Pass Interference,11,136.0,12.36
Wyoming,MWC,Delay of Game,7,26.0,3.71
Wyoming,MWC,Other / Unclassified,7,25.0,3.57
Wyoming,MWC,Face Mask,5,39.0,7.8
Wyoming,MWC,Personal Foul,3,123.0,41.0
Wyoming,MWC,Offside,2,24.0,12.0
Wyoming,MWC,Unsportsmanlike Conduct,2,25.0,12.5
Wyoming,MWC,Roughing,1,0.0,0.0
Wyoming,MWC,Roughing the Passer,1,1.0,1.0
