offense,defense,play_text,penalty_type,penalty_yards
Fresno State,Georgia Southern,"Rayshon Luke run for 8 yds to the GASO 1 for a 1ST down Georgia Southern Penalty, Defensive Holding (Davion Rhodes) declined for a 1ST down",Holding,
Virginia,Coastal Carolina,"PENALTY UVA False Start (Josey,Noah) 5 yards from UVA46 to UVA41. NO PLAY.",False Start,5.0
Coastal Carolina,Virginia,"MJ Morris pass intercepted Ethan Minter return for 60 yds Virginia Penalty, Illegal Block (Ja'son Prevard) to the UVA 40",Other / Unclassified,
Virginia,Coastal Carolina,"PENALTY UVA False Start (Morris,Chandler) 5 yards from CCU31 to CCU36. NO PLAY.",False Start,5.0
Coastal Carolina,Virginia,"No Huddle-Shotgun Morris,MJ pass incomplete short left to Johnson,Brooks thrown to UVA26 broken up by Charles,Christian PENALTY CCU Holding (Elam,Zac) 10 yards from UVA27 to UVA37. NO PLAY.",Holding,10.0
Coastal Carolina,Virginia,"No Huddle-Shotgun Morris,MJ pass complete short left to Wright,Cameron caught at CCU24, for 8 yards to the CCU33 (Platt,Donavon), out of bounds PENALTY CCU Holding (Washington,Robby) 10 yards from CCU25 to CCU15. NO PLAY.",Holding,8.0
Coastal Carolina,Virginia,"Coastal Carolina Penalty, Offensive Holding (-10 Yards) to the CCU 19",Holding,10.0
New Mexico,Michigan,"(01:58) No Huddle-Shotgun Layne,Jack pass incomplete deep right to Johnson,Keagan thrown to UOM39 PENALTY UOM Pass Interference (Dotson,Elijah) 15 yards from NM 37 to UOM48, 1ST DOWN. NO PLAY.",Pass Interference,15.0
New Mexico,Michigan,"(00:33) No Huddle-Shotgun Layne,Jack pass incomplete deep left to Smith,Zhaiel thrown to UOM10 PENALTY UOM Offside (Edokpayi,Lugard) 5 yards from UOM34 to UOM29. NO PLAY.",Offside,5.0
New Mexico,Michigan,"(04:50) Shotgun Layne,Jack pass incomplete short left to Johnson,Keagan thrown to UOM25, 1ST DOWN, PENALTY UOM Pass Interference (Edmond,Jo'Ziah) 9 yards from UOM38 to UOM29, 1ST DOWN. NO PLAY.",Pass Interference,9.0
Michigan,New Mexico,"(01:03) PENALTY UOM False Start (McCulley,Donaven) 5 yards from NM 34 to NM 39. NO PLAY.",False Start,5.0
New Mexico,Michigan,"(13:51) PENALTY NM False Start (Aliane,Malik) 5 yards from NM 44 to NM 39. NO PLAY.",False Start,5.0
Michigan,New Mexico,"Michigan Penalty, Illegal Formation (Yards) declined",Illegal Formation,
New Mexico,Michigan,"(09:39) Shotgun Layne,Jack sacked for loss of 12 yards to the NM 22 (Barham,Jaishawn) PENALTY UOM Targeting (Barham,Jaishawn) 15 yards from NM 34 to NM 49, 1ST DOWN. NO PLAY.",Targeting,12.0
New Mexico,Michigan,"(05:35) PENALTY UOM Offside (Moore,Derrick) 5 yards from UOM18 to UOM13. NO PLAY.",Offside,5.0
New Mexico,Michigan,"(02:37) Shotgun Layne,Jack pass incomplete short right to Johnson,Keagan thrown to UOM00 PENALTY UOM Pass Interference (Hill,Jyaire) 1 yard from UOM03 to UOM02, 1ST DOWN. NO PLAY.",Pass Interference,1.0
Michigan,New Mexico,"(01:34) No Huddle-Shotgun Marshall,Jordan rush right for 12 yards gain to the UOM34 (Williams,Abraham) PENALTY UOM Holding (Sprague,Andrew) 10 yards from UOM22 to UOM12. NO PLAY.",Holding,12.0
Ole Miss,Georgia State,"(08:31) Shotgun Simmons,Austin pass incomplete deep left to Lee,Cayden thrown to OM46 PENALTY GS Holding (Hopkins,D-Icey) 10 yards from OM21 to OM31, 1ST DOWN. NO PLAY.",Holding,10.0
Georgia State,Ole Miss,PENALTY GS Delay Of Game 3 yards from GS07 to GS04. NO PLAY.,Delay of Game,3.0
Ole Miss,Georgia State,"PENALTY OM False Start (Fields,Ethan) 5 yards from GS11 to GS16. NO PLAY.",False Start,5.0
Georgia State,Ole Miss,PENALTY GS Delay Of Game 5 yards from OM15 to OM20. NO PLAY.,Delay of Game,5.0
Ole Miss,Georgia State,"(04:00) Shotgun Simmons,Austin rush middle for 10 yards gain to the OM30 (Robinson,Josiah) PENALTY OM Holding (Kutas,Patrick) 10 yards from OM20 to OM10. NO PLAY.",Holding,10.0
Ole Miss,Georgia State,"Carneiro,Lucas kick attempt good (H: Bird,Oscar, LS: Short,Carter) PENALTY GS Offside (Diagne,Chams) 2 yards from GS03 to GS01. NO PLAY.",Offside,2.0
Georgia State,Ole Miss,"PENALTY GS False Start (Williams,Tyhler) 5 yards from GS29 to GS24. NO PLAY.",False Start,5.0
Georgia State,Ole Miss,"(09:46) Shotgun Brown,Cameran pass incomplete short middle to Blackburn,Leo thrown to GS31 PENALTY OM Pass Interference (Graves Jr.,Chris) 6 yards from GS28 to GS34, 1ST DOWN. NO PLAY.",Pass Interference,6.0
Ole Miss,Georgia State,"PENALTY OM False Start (Wilkins,PJ) 3 yards from OM07 to OM04. NO PLAY.",False Start,3.0
Ole Miss,Georgia State,"(06:59) Bird,Oscar punt 55 yards to the GS27 Robinson,Javon return for loss of 3 yards to the GS24 (Alexander,Deuce; Beavers,Cedrick) PENALTY OM Illegal Formation 5 yards from OM18 to OM13. NO PLAY.",Illegal Formation,55.0
Ole Miss,Georgia State,"Oscar Bird punt for 35 yds, punt out-of-bounds at the GAST 48 Georgia State Penalty, (15 Yards) to the GAST 37",Other / Unclassified,15.0
Ole Miss,Georgia State,PENALTY OM Delay Of Game 5 yards from GS11 to GS16. NO PLAY.,Delay of Game,5.0
Georgia State,Ole Miss,"Georgia State Penalty, (Yards) declined",Other / Unclassified,
Rice,Louisiana,PENALTY RIC Illegal Substitution 5 yards from RIC26 to RIC21. NO PLAY.,Other / Unclassified,5.0
Louisiana,Rice,"(10:24) No Huddle-Shotgun Perry,Zylan rush right for 7 yards gain to the RIC49 (Hook,Daveon) PENALTY UL Holding (Jackson,George) 10 yards from UL 44 to UL 34. NO PLAY.",Holding,7.0
Louisiana,Rice,"Louisiana Penalty, Intentional Grounding (Walker Howard) to the RICE 38",Other / Unclassified,
Louisiana,Rice,"(10:58) No Huddle-Shotgun Howard,Walker pass incomplete short right to Johnson,Jaydon thrown to UL 36 broken up by Williams,Marcus PENALTY RIC UNR: Unnecessary Roughness (Boenisch,Blake) 15 yards from UL 20 to UL 35, 1ST DOWN. NO PLAY.",Other / Unclassified,15.0
Louisiana,Rice,"(10:10) No Huddle-Shotgun Howard,Walker pass incomplete deep right to Sampson Jr. ,Shelton thrown to RIC25 PENALTY RIC Pass Interference (Crump,Khary) 15 yards from UL 39 to RIC46, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Rice,Louisiana,"Louisiana Penalty, Illegal Block (10 Yards) to the UL 17",Other / Unclassified,10.0
Louisiana,Rice,"(00:35) No Huddle-Shotgun Howard,Walker pass incomplete short right to Johnson,Jaydon thrown to RIC21 PENALTY RIC Offside (Daley,Michael) 5 yards from RIC39 to RIC34. NO PLAY.",Offside,5.0
Georgia Southern,Fresno State,"(01:42) No Huddle-Shotgun Mbadinga,David rush middle for 16 yards gain to the GAS43 (Davis,Jayden) PENALTY GAS Holding 10 yards from GAS27 to GAS17. NO PLAY.",Holding,16.0
Fresno State,Georgia Southern,PENALTY GAS Personal Foul 15 yards from FRES35 to FRES50. NO PLAY.,Personal Foul,15.0
Rice,Louisiana,"Rice Penalty, Illegal Formation (Yards) declined",Illegal Formation,
Louisiana,Rice,"(11:02) No Huddle-Shotgun Howard,Walker pass incomplete deep left to Sampson Jr. ,Shelton thrown to UL 50 PENALTY RIC Pass Interference (Porter,Omari) RIC Offside declined 15 yards from UL 09 to UL 24, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Rice,Louisiana,"Daelen Alexander run for 8 yds to the UL 12 for a 1ST down Louisiana Penalty, Face Mask (6 yards) (Terrence Williams) to the UL 6 for a 1ST down",Face Mask,6.0
Louisiana,Rice,"(01:46) No Huddle-Shotgun Beale,Daniel rush middle for 14 yards gain to the UL 44, End Of Play PENALTY UL Holding (Williams,Bryant) 10 yards from UL 30 to UL 20. NO PLAY.",Holding,14.0
Louisiana,Rice,"(01:24) No Huddle-Shotgun Beale,Daniel pass incomplete deep right to Williams,Robert thrown to UL 48 PENALTY RIC Pass Interference (Crump,Khary) 15 yards from UL 20 to UL 35, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Georgia Southern,Fresno State,"PENALTY GAS Personal Foul (Mbadinga,David) 8 yards from GAS16 to GAS08. NO PLAY.",Personal Foul,8.0
Wyoming,Akron,"Wyoming Penalty, delay of game (Caleb Merritt) to the WYO 21",Delay of Game,
Wyoming,Akron,"Jr. Bart Edmiston punt for 33 yds Akron Penalty, roughing kicker (Melvin Spriggs) to the AKR 38",Roughing,
Wyoming,Akron,"Kaden Anderson pass complete to Michael Fitzgerald for no gain to the WYO 38 Wyoming Penalty, inelgible downfield on pass (-5 Yards) to the WYO 33",Other / Unclassified,5.0
Wyoming,Akron,"Sam Scott run for no gain to the AKR 18 for a 1ST down Akron Penalty, face mask (9 yards) (Bruno Dall) to the AKR 9 for a 1ST down",Face Mask,9.0
Akron,Wyoming,"Ben Finley pass complete to Sean Patrick for no gain to the WYO 26 Akron Penalty, inelgible downfield on pass (-5 Yards) to the WYO 31",Other / Unclassified,5.0
Akron,Wyoming,"Michael Johnson Jr. run for no gain to the AKR 47 Akron Penalty, Offensive holding (Kenneth Mcmanus Iv) to the AKR 43",Holding,
Wyoming,Akron,"Wyoming Penalty, false start (Jack Walsh) to the WYO 42",False Start,
Wyoming,Akron,"Wyoming Penalty, false start (Nathan Geiger) to the WYO 13",False Start,
Wyoming,Akron,"Wyoming Penalty, false start (Nathan Geiger) to the WYO 24",False Start,
Akron,Wyoming,"Joseph Castle punt for 46 yds , Charlie Coenen returns for 10 yds to the WYO 20 Wyoming Penalty, illegal block (Nico Hamilton) to the WYO 34",Other / Unclassified,
Akron,Wyoming,"Akron Penalty, delay of game (Jacob Dennis) to the AKR 10",Delay of Game,
Wyoming,Akron,"Wyoming Penalty, false start (Nathan Geiger) to the WYO 29",False Start,
Akron,Wyoming,"Ben Finley pass incomplete to Myles Walker Akron Penalty, illegal forward pass (Ben Finley) to the AKR 39",Other / Unclassified,
Akron,Wyoming,"Akron Penalty, delay of game (-5 Yards) to the AKR 18",Delay of Game,5.0
Buffalo,Minnesota,"PENALTY MINN Offside (Eastern,Deven) 5 yards from BUFF27 to BUFF32. NO PLAY.",Offside,5.0
Buffalo,Minnesota,"Buffalo Penalty, Chop Block (Yards) declined",Other / Unclassified,
Minnesota,Buffalo,PENALTY MINN Delay Of Game 5 yards from BUFF04 to BUFF09. NO PLAY.,Delay of Game,5.0
Minnesota,Buffalo,"Buffalo Penalty, Personal Foul (15 Yards) to the BUF 21 for a 1ST down",Personal Foul,15.0
Minnesota,Buffalo,"(00:32) No Huddle-Shotgun Lindsey,Drake pass incomplete deep middle to Geers,Jameson thrown to BUFF16 broken up by Brown,SaVeon PENALTY BUFF Pass Interference (Brown,SaVeon) 15 yards from BUFF38 to BUFF23, 1ST DOWN. NO PLAY.",Pass Interference,15.0
South Dakota,Iowa State,"PENALTY USD False Start (Hawkins,Adrian) 5 yards from USD31 to USD26. NO PLAY.",False Start,5.0
Buffalo,Minnesota,PENALTY BUFF Delay Of Game 5 yards from BUFF19 to BUFF14. NO PLAY.,Delay of Game,5.0
VMI,Navy,"PENALTY VMI False Start (Witt,Britin) 5 yards from VMI44 to VMI39. NO PLAY.",False Start,5.0
VMI,Navy,"(12:21) PENALTY VMI False Start (Woodley,Tristan) 5 yards from VMI39 to VMI34. NO PLAY.",False Start,5.0
Navy,VMI,PENALTY Navy Delay Of Game 5 yards from VMI35 to VMI40. NO PLAY.,Delay of Game,5.0
Navy,VMI,"(11:56) Chatman,Brandon rush right for 6 yards gain to the VMI00 TOUCHDOWN nullified by penalty, clock 11:51 PENALTY Navy Holding (Tecza,Alex) 10 yards from VMI06 to VMI16. NO PLAY.",Holding,6.0
Navy,VMI,"Alex Tecza run for 6 yds for a TD VMI Penalty, Defensive Offside (Anthony Allen) declined (Nathan Kirkwood KICK)",Offside,
Navy,VMI,"VMI Penalty, UNR: Unnecessary Roughness (15 Yards) to the NAVY 24 for a 1ST down",Other / Unclassified,15.0
Navy,VMI,PENALTY Navy Delay Of Game 5 yards from VMI42 to VMI47. NO PLAY.,Delay of Game,5.0
VMI,Navy,"PENALTY VMI False Start (Witt,Britin) 5 yards from Navy25 to Navy30. NO PLAY.",False Start,5.0
VMI,Navy,"(11:57) PENALTY VMI Delay Of Game (Shannon,Collin) 5 yards from Navy38 to Navy43. NO PLAY.",Delay of Game,5.0
Kent State,Merrimack,"No Huddle-Shotgun Kimbrough,Jahzae rush middle for 2 yards gain to the KSU46 (Frazier,DJ; Ricks,Bryce) PENALTY KSU Illegal Formation 5 yards from KSU44 to KSU39. NO PLAY.",Illegal Formation,2.0
Merrimack,Kent State,"PENALTY MC UNS: Unsportsmanlike Conduct (Lizama,Steve) 15 yards from MC31 to MC16. NO PLAY.",Unsportsmanlike Conduct,15.0
Kent State,Merrimack,"PENALTY MC UNS: Unsportsmanlike Conduct (Rosemond Jr.,Garry) 15 yards from KSU48 to MC37, 1ST DOWN. NO PLAY.",Unsportsmanlike Conduct,15.0
Kent State,Merrimack,"PENALTY KSU False Start (Diallo,Junior) 5 yards from KSU38 to KSU33. NO PLAY.",False Start,5.0
Kent State,Merrimack,PENALTY KSU Delay Of Game 5 yards from KSU37 to KSU32. NO PLAY.,Delay of Game,5.0
Kent State,Merrimack,"Jake Stoeckel punt for 46 yds, punt out-of-bounds at the MRMK 11 , Garry Rosemond Jr. returns for 9 yds to the MRMK 41 Merrimack Penalty, (10 Yards) to the MRMK 11",Other / Unclassified,10.0
Merrimack,Kent State,"No Huddle-Shotgun Pereira,Ayden pass incomplete short right to Lehman,Cooper thrown to MC37 broken up by Tucker,Tevin PENALTY KSU Holding (Cordoba,Joel) 10 yards from MC27 to MC37, 1ST DOWN. NO PLAY.",Holding,10.0
Merrimack,Kent State,"Mike Ryan kickoff for 50 yds , Cade Wolford return for 23 yds to the KENT 42 Kent State Penalty, Offensive Holding (Angelo Stockstill) to the KENT 15",Holding,
Merrimack,Kent State,"Ayden Pereira pass complete to Cooper Lehman for 17 yds to the KENT 41 for a 1ST down Kent State Penalty, Face Mask (15 yards) (Jaire Rawlison) to the KENT 26 for a 1ST down",Face Mask,15.0
Kent State,Merrimack,"PENALTY KSU Delay Of Game (Stoeckel,Jake) 5 yards from KSU15 to KSU10. NO PLAY.",Delay of Game,5.0
South Dakota,Iowa State,"(00:34) Shotgun Bouman,Aidan pass incomplete short right to Martens,Jack thrown to ISU48 PENALTY ISU Holding (Cooper,Jeremiah) 10 yards from USD34 to USD44, 1ST DOWN. NO PLAY.",Holding,10.0
Merrimack,Kent State,"Brendon Wyatt run for no gain to the MRMK 33 Merrimack Penalty, (-10 Yards) to the MRMK 23",Other / Unclassified,10.0
Merrimack,Kent State,"Ryan,Mike punt 47 yards to the KSU37 Harris,Wayne return 9 yards to the KSU46 (Wilson,Jacob; Latham,Matthias) PENALTY MC Illegal Formation 5 yards from MC16 to MC11. NO PLAY.",Illegal Formation,47.0
Merrimack,Kent State,"Mike Ryan punt for 50 yds, punt out-of-bounds at the KENT 31 , Wayne Harris returns for 22 yds to the KENT 33 Kent State Penalty, Illegal Block (Angelo Stockstill) to the KENT 31",Other / Unclassified,
Kent State,Merrimack,"Dru DeShields sacked by Bryce Warrick for a loss of 4 yards to the KENT 19 Merrimack Penalty, (15 Yards) to the KENT 34",Other / Unclassified,15.0
Merrimack,Kent State,"PENALTY MC False Start (Lizama,Steve) 5 yards from KSU29 to KSU34. NO PLAY.",False Start,5.0
Kent State,Merrimack,"PENALTY MC UNS: Unsportsmanlike Conduct (Warrick,Bryce) 15 yards from KSU35 to KSU50. NO PLAY.",Unsportsmanlike Conduct,15.0
Merrimack,Kent State,"PENALTY MC False Start (Lanzidelle,Beau) 5 yards from MC10 to MC05. NO PLAY.",False Start,5.0
Kent State,Merrimack,"Dru DeShields run for 6 yds to the KENT 26 for a 1ST down Merrimack Penalty, (15 Yards) to the KENT 41 for a 1ST down",Other / Unclassified,15.0
Kentucky,Toledo,"Toledo Penalty, Defensive holding (10 Yards) to the UK 21",Holding,10.0
Kentucky,Toledo,"(13:02) No Huddle-Shotgun Calzada,Zach pass incomplete deep middle to Gilmore IV,Hardley thrown to TOL45 PENALTY TOL Pass Interference (Smith,Avery) 15 yards from UK11 to UK26, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Toledo,Kentucky,"PENALTY TOL False Start (Gales,Stephen) 5 yards from TOL20 to TOL15. NO PLAY.",False Start,5.0
Kentucky,Toledo,"(13:01) No Huddle-Shotgun Calzada,Zach pass incomplete deep right to Law,Kendrick thrown to TOL00 PENALTY TOL Pass Interference (Bowers,Nasir) 14 yards from TOL25 to TOL11, 1ST DOWN. NO PLAY.",Pass Interference,14.0
Toledo,Kentucky,"Gleason,Tucker pass attempt failed PENALTY TOL Pass Interference (Holley III,Eric) 15 yards from UK03 to UK18. NO PLAY.",Pass Interference,15.0
Kentucky,Toledo,"(01:50) Shotgun Dowdell,Dante rush middle for 7 yards gain to the TOL36 (Poynter,Martez) PENALTY TOL Offside 5 yards from TOL43 to TOL38. NO PLAY.",Offside,7.0
Kentucky,Toledo,"(08:02) No Huddle-Shotgun Calzada,Zach pass incomplete short middle to Farrier II,Fred thrown to TOL08, 1ST DOWN, PENALTY TOL Pass Interference (Bowers,Nasir) 9 yards from TOL17 to TOL08, 1ST DOWN. NO PLAY.",Pass Interference,9.0
Toledo,Kentucky,"(05:11) No Huddle-Shotgun Gleason,Tucker pass complete short right to Crosby Jr.,Terrell caught at TOL39, for 18 yards to the TOL42 (Waller,DJ) PENALTY TOL Personal Foul (Rhett,Cole) 12 yards from TOL24 to TOL12. NO PLAY.",Personal Foul,18.0
Toledo,Kentucky,PENALTY TOL False Start 5 yards from TOL30 to TOL25. NO PLAY.,False Start,5.0
Duquesne,Pittsburgh,PENALTY Dukes Delay Of Game 5 yards from Dukes49 to Dukes44. NO PLAY.,Delay of Game,5.0
Pittsburgh,Duquesne,PENALTY Pitt False Start 5 yards from Dukes43 to Dukes48. NO PLAY.,False Start,5.0
Duquesne,Pittsburgh,"PENALTY Dukes False Start (Brandt,Tommy) 5 yards from Pitt02 to Pitt07. NO PLAY.",False Start,5.0
Pittsburgh,Duquesne,"(10:12) Shotgun Holstein,Eli pass incomplete short middle to Williams Jr.,Raphael thrown to Dukes05, 1ST DOWN, PENALTY Dukes Pass Interference (Harper,Dallas) 13 yards from Dukes18 to Dukes05, 1ST DOWN. NO PLAY.",Pass Interference,13.0
Duquesne,Pittsburgh,PENALTY Dukes Illegal Substitution 5 yards from Dukes33 to Dukes28. NO PLAY.,Other / Unclassified,5.0
Duquesne,Pittsburgh,"(07:17) No Huddle-Shotgun Solomon, Jr.,Shawn rush middle for 5 yards gain to the Dukes44 (Brookins,Cruce) PENALTY Dukes Holding (Fallah,Michael) 10 yards from Dukes39 to Dukes29. NO PLAY.",Holding,5.0
Duquesne,Pittsburgh,"Duquesne Penalty, (Yards) declined",Other / Unclassified,
Duquesne,Pittsburgh,"(09:13) Shotgun Solomon, Jr.,Shawn rush middle for 4 yards gain to the Pitt25 (Brookins,Cruce) PENALTY Dukes Holding (Fallah,Michael) 10 yards from Pitt29 to Pitt39. NO PLAY.",Holding,4.0
Duquesne,Pittsburgh,"(08:05) Shotgun Riddell,Tyler pass complete short middle to Solomon, Jr.,Shawn caught at Pitt36, for 7 yards to the Pitt31 (Biles,Rasheem) PENALTY Dukes Holding (Gunn,Aaron) 10 yards from Pitt38 to Pitt48. NO PLAY.",Holding,7.0
Pittsburgh,Duquesne,"PENALTY Pitt UNS: Unsportsmanlike Conduct (Thomas,Malachi) 15 yards from Pitt35 to Pitt20. NO PLAY.",Unsportsmanlike Conduct,15.0
Duquesne,Pittsburgh,"PENALTY Dukes False Start (Satterwhite III,Gary) 5 yards from Pitt16 to Pitt21. NO PLAY.",False Start,5.0
Duquesne,Pittsburgh,"Pittsburgh Penalty, Defensive Offside (Shadarian Harrison) declined",Offside,
Duquesne,Pittsburgh,PENALTY Dukes Delay Of Game 5 yards from Pitt12 to Pitt17. NO PLAY.,Delay of Game,5.0
Duquesne,Pittsburgh,PENALTY Dukes Delay Of Game 5 yards from Dukes34 to Dukes29. NO PLAY.,Delay of Game,5.0
Tulane,Northwestern,"Jake Retzlaff run for 5 yds to the NU 23 Tulane Penalty, Offensive Holding (Yards) declined",Holding,
Tulane,Northwestern,"Patrick Durkin kickoff for 65 yds for a touchback Tulane Penalty, Defensive Offside (Joshua Moore)",Offside,
Northwestern,Tulane,"(00:54) No Huddle-Shotgun Stone,Preston pass incomplete deep right to Wilde,Griffin thrown to NWU37 broken up by Johnson,Jahiem PENALTY TLN Pass Interference (Johnson,Jahiem) 15 yards from NWU14 to NWU29, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Northwestern,Tulane,"Tulane Penalty, Offensive Holding (17 Yards) to the NU 36",Holding,17.0
Northwestern,Tulane,"Tulane Penalty, Offensive Holding (10 Yards) to the TULN 48",Holding,10.0
Tulane,Northwestern,"Maurice Turner run for 1 yd to the NU 2 for a 1ST down Northwestern Penalty, Illegal Substitution (Carmine Bastone) to the NU 1 for a 1ST down",Other / Unclassified,
Tulane,Northwestern,"(14:59) No Huddle-Shotgun Retzlaff,Jake pass incomplete short left to Preston,Shazz thrown to TLN37, 1ST DOWN, PENALTY NWU Pass Interference (Fussell,Josh) 14 yards from TLN22 to TLN36, 1ST DOWN. NO PLAY.",Pass Interference,14.0
Tulane,Northwestern,"(12:46) No Huddle-Shotgun Turner,Maurice rush middle for 0 yards to the NWU34 (Fitzgerald,Robert) PENALTY TLN Holding 10 yards from NWU34 to NWU44. NO PLAY.",Holding,
Northwestern,Tulane,"PENALTY NWU False Start (Beerntsen,Evan). NO PLAY.",False Start,
Northwestern,Tulane,(03:55) PENALTY NWU False Start 5 yards from NWU25 to NWU20. NO PLAY.,False Start,5.0
Northwestern,Tulane,"Preston Stone pass complete to Joseph Himon II for 3 yds to the TULN 37 for a 1ST down Tulane Penalty, UNR: Unnecessary Roughness (E'zaiah Shine) to the TULN 48 for a 1ST down",Other / Unclassified,
Purdue,Ball State,"(14:56) No Huddle-Shotgun Browne,Ryan pass incomplete short middle to Branch,Arhmad thrown to PUR42 broken up by Yates,Willizhuan PENALTY BSU Holding (Yates,Willizhuan) 10 yards from PUR28 to PUR38, 1ST DOWN. NO PLAY.",Holding,10.0
Purdue,Ball State,"(11:28) PENALTY PUR False Start (Trent,Ethan) 5 yards from BSU08 to BSU13. NO PLAY.",False Start,5.0
Purdue,Ball State,"Purdue Penalty, Ineligible Downfield on Pass (Yards) declined",Other / Unclassified,
Ball State,Purdue,"Ball State Penalty, Offensive Holding (Alfred Chea) declined",Holding,
Ball State,Purdue,"PENALTY BSU False Start (Mosier,Cole) 3 yards from BSU06 to BSU03. NO PLAY.",False Start,3.0
Ball State,Purdue,"PENALTY PUR Disconcerting Signals (Powell,Mani) 5 yards from BSU25 to BSU30. NO PLAY.",Other / Unclassified,5.0
Ball State,Purdue,"(07:56) Shotgun Kelly,Kiael pass complete short right to Jackson,Elijah caught at PUR32, for 1 yard loss to the PUR31 (Ra-El,Tahj) PENALTY PUR Personal Foul (Ra-El,Tahj) 15 yards from PUR30 to PUR15, 1ST DOWN. NO PLAY.",Personal Foul,1.0
Maryland,Florida Atlantic,"(09:52) PENALTY UMD Delay Of Game (McFerson,Bryce) 5 yards from UMD19 to UMD14. NO PLAY.",Delay of Game,5.0
Florida Atlantic,Maryland,"Maryland Penalty, Face Mask (15 yards) (Daniel Wingate) to the MD 46 for a 1ST down",Face Mask,15.0
Florida Atlantic,Maryland,"(13:45) No Huddle-Shotgun Veltkamp,Caden pass intercepted by Wingate,Daniel at UMD30, End Of Play PENALTY UMD Encroachment 5 yards from UMD46 to UMD41. NO PLAY.",Other / Unclassified,5.0
Florida Atlantic,Maryland,"PENALTY UMD Delay Of Game (Wingate,Daniel) 5 yards from UMD31 to UMD26. NO PLAY.",Delay of Game,5.0
Florida Atlantic,Maryland,"(12:14) No Huddle-Shotgun Sands,Gemari rush middle for 1 yard loss to the UMD26 (Fontus,Dillan) PENALTY UMD Offside (Fontus,Dillan) 5 yards from UMD25 to UMD20, 1ST DOWN. NO PLAY.",Offside,1.0
Florida Atlantic,Maryland,"(10:57) PENALTY UMD Offside (Stewart,Sidney) 5 yards from UMD09 to UMD04. NO PLAY.",Offside,5.0
Iowa State,South Dakota,"PENALTY ISU False Start (Eledge,Easton) 5 yards from USD17 to USD22. NO PLAY.",False Start,5.0
Iowa State,South Dakota,"South Dakota Penalty, Face Mask (6 yards) (6 Yards) to the SDAK 6 for a 1ST down",Face Mask,6.0
Iowa State,South Dakota,"Moore,Tyler pass attempt Successful PENALTY ISU Pass Interference (Eskildsen,Brett) 15 yards from USD03 to USD18. NO PLAY.",Pass Interference,15.0
South Dakota,Iowa State,"South Dakota Penalty, Offensive Holding (-10 Yards) to the SDAK 20",Holding,10.0
South Dakota,Iowa State,"(05:07) Shotgun Bouman,Aidan pass complete short left to Martens,Jack caught at USD31, for 9 yards to the USD31, End Of Play PENALTY USD Illegal Touch-Pass (Martens,Jack). NO PLAY.",Other / Unclassified,9.0
Iowa State,South Dakota,"(03:22) No Huddle-Shotgun Manske,Alex pass incomplete short left to Townsend,Xavier thrown to ISU46 broken up by Walsh,Matt, 1ST DOWN, PENALTY USD Pass Interference (Walsh,Matt) 15 yards from ISU32 to ISU47, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Northern Colorado,Chadron St,"Peter Costelli pass incomplete to Carver Cheeks for a 1ST down Northern Colorado Penalty, Offensive Pass Interference (-15 Yards) to the UNCO 38 for a 1ST down",Pass Interference,15.0
Chadron St,Northern Colorado,"Shotgun Ralph,DJ pass incomplete short left to Thomas,Tommy thrown to UNC 12 PENALTY CSC Pass Interference (Schlabs,Garet) 15 yards from UNC 24 to UNC 39. NO PLAY.",Pass Interference,15.0
Northern Colorado,Chadron St,"Peter Costelli pass incomplete to River Stout for a 1ST down Northern Colorado Penalty, Roughing The Passer (-15 Yards) to the CHA 45 for a 1ST down",Roughing the Passer,15.0
Florida Atlantic,Maryland,"(03:10) No Huddle-Shotgun Veltkamp,Caden pass intercepted by Huskey,Jalen at UMD34 Huskey,Jalen return 0 yards to the UMD34 (Henry,Dom) PENALTY UMD Offside (Reddick,Trey) 5 yards from FAU38 to FAU43. NO PLAY.",Offside,
Maryland,Florida Atlantic,"PENALTY UMD False Start (Bah,Aliou) 5 yards from FAU25 to FAU30. NO PLAY.",False Start,5.0
Maryland,Florida Atlantic,"PENALTY UMD False Start (Gilchrist,Jaylen) 5 yards from FAU33 to FAU38. NO PLAY.",False Start,5.0
Florida Atlantic,Maryland,"PENALTY FAU False Start (Richardson,Daughtry) 5 yards from FAU30 to FAU25. NO PLAY.",False Start,5.0
Maryland,Florida Atlantic,"PENALTY UMD False Start (Herron,Alan) 5 yards from FAU32 to FAU37. NO PLAY.",False Start,5.0
Maryland,Florida Atlantic,"(14:04) No Huddle Washington,Malik rush right for 7 yards gain to the UMD35, out of bounds at UMD35 PENALTY UMD Holding (Bah,Aliou) 10 yards from UMD28 to UMD18. NO PLAY.",Holding,7.0
Maryland,Florida Atlantic,"(12:19) No Huddle-Shotgun Washington,Malik pass incomplete short left to Fleming,Dorian thrown to FAU00, 1ST DOWN, PENALTY FAU Pass Interference (Williams,Dillion) 14 yards from FAU19 to FAU05, 1ST DOWN. NO PLAY.",Pass Interference,14.0
