offense,defense,play_text,penalty_type,penalty_yards
Northern Illinois,Holy Cross,PENALTY NIU Delay Of Game 5 yards from HC03 to HC08. NO PLAY.,Delay of Game,5.0
Northern Illinois,Holy Cross,PENALTY NIU False Start 5 yards from NIU24 to NIU19. NO PLAY.,False Start,5.0
Northern Illinois,Holy Cross,PENALTY NIU False Start 5 yards from NIU29 to NIU24. NO PLAY.,False Start,5.0
Montana State,Oregon,"PENALTY ORE Offside (Tuioti,Teitum) 5 yards from MSU24 to MSU29. NO PLAY.",Offside,5.0
Montana State,Oregon,"Montana State Penalty, Illegal Formation (Chris Long) declined",Illegal Formation,
Montana State,Oregon,"Frokjer,Colby punt 53 yards to the ORE15 Bryant Jr.,Gary return 4 yards to the ORE19 (Johnson,Brody), out of bounds PENALTY MSU Illegal Formation (Eiden IV,Kenneth) 5 yards from MSU32 to MSU27. NO PLAY.",Illegal Formation,53.0
Montana State,Oregon,"PENALTY MSU False Start (Jefferson,Cedric) 5 yards from ORE49 to MSU46. NO PLAY.",False Start,5.0
Montana State,Oregon,"PENALTY MSU Delay Of Game (Johnson,Brody) 5 yards from MSU30 to MSU25. NO PLAY.",Delay of Game,5.0
Montana State,Oregon,"PENALTY MSU False Start (Lencioni,Rocky) 5 yards from MSU48 to MSU48. NO PLAY.",False Start,5.0
Oregon,Montana State,"No Huddle-Shotgun Moore,Dante pass incomplete deep right to Benson,Malik thrown to MSU05, 1ST DOWN, PENALTY MSU Pass Interference (Williams,Carson) 14 yards from MSU25 to MSU11, 1ST DOWN. NO PLAY.",Pass Interference,14.0
Oregon,Montana State,"Dante Moore pass complete to Jeremiah McClellan for 13 yds to the MTST 46 for a 1ST down Montana State Penalty, Roughing The Passer (Kenneth Eiden IV) to the MTST 39 for a 1ST down",Roughing the Passer,
Utah,UCLA,"Devon Dampier pass incomplete to Tobias Merriweather for a 1ST down UCLA Penalty, Defensive pass interference (Andre Jordan Jr.) to the UTAH 31 for a 1ST down",Pass Interference,
Oregon,Montana State,"Moore,Dante pass complete short middle to Hughes,Makhi caught at ORE48, for 5 yards to the MSU49 (Grebe,Bryce), out of bounds PENALTY ORE Holding (Bedford,Matthew) 10 yards from ORE46 to ORE36. NO PLAY.",Holding,5.0
Montana State,Oregon,"PENALTY MSU False Start (Provience,Hunter) 5 yards from MSU41 to MSU36. NO PLAY.",False Start,5.0
Montana State,Oregon,"No Huddle-Shotgun Lamson,Justin pass incomplete short left to Long,Chris thrown to ORE00, 1ST DOWN, PENALTY ORE Pass Interference (Offord,Na'eem) 14 yards from ORE16 to ORE02, 1ST DOWN. NO PLAY.",Pass Interference,14.0
UCLA,Utah,"Nico Iamaleava pass incomplete to Mikey Matthews UCLA Penalty, Offensive holding (Courtland Ford) to the UCLA 14",Holding,
Utah,UCLA,"Devon Dampier pass complete to Dallen Bentley for 7 yds to the UCLA 36 UCLA Penalty, substitution infraction (Yards) to the UCLA 43",Other / Unclassified,
Utah,UCLA,"Devon Dampier pass complete to Larry Simmons for no gain to the UCLA 36 Utah Penalty, illegal touching (Larry Simmons) to the UCLA 36",Other / Unclassified,
Virginia Tech,South Carolina,"Virginia Tech Penalty, False Start (Johnny Garrett) to the VT 27",False Start,
Virginia Tech,South Carolina,"South Carolina Penalty, Defensive Offside (5 Yards) to the VT 32",Offside,5.0
South Carolina,Virginia Tech,"South Carolina Penalty, False Start (-5 Yards) to the SC 41",False Start,5.0
Virginia Tech,South Carolina,"Virginia Tech Penalty, Personal Foul (Kyle Altuner) to the VT 31",Personal Foul,
Virginia Tech,South Carolina,"South Carolina Penalty, Defensive Offside (5 Yards) to the VT 40 for a 1ST down",Offside,5.0
Virginia Tech,South Carolina,"Kyron Drones pass complete to Donavon Greene for 37 yds to the SC 22 for a 1ST down South Carolina Penalty, Personal Foul (Peyton Williams) to the SC 11 for a 1ST down",Personal Foul,
South Carolina,Virginia Tech,"South Carolina Penalty, Delay of Game (-5 Yards) to the SC 20",Delay of Game,5.0
South Carolina,Virginia Tech,"LaNorris Sellers run for 1 yd to the VT 30 South Carolina Penalty, Offensive Holding (Donovan Murph) to the VT 40",Holding,
Utah,UCLA,"Wayshawn Parker run for no gain to the UTAH 20 Utah Penalty, Offensive holding (Caleb Lomu) to the UTAH 10",Holding,
Virginia Tech,South Carolina,"South Carolina Penalty, Defensive Offside (Dylan Stewart) to the VT 41",Offside,
